partido_id,set_num,temporada_inicio,strength_h,strength_a,strength_diff,elo_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,diff_set_ratio,diff_dominancia,set_num_norm,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2016/2017_m00006,2,2016,0.4693677588655298,0.47289486802029873,-0.003527109154768948,-2.459094450421617,0.0,0.25,-0.25,0.43527528164806206,0.43527528164806206,0.0,0.4094488188976378,0.4673913043478261,0.0,-0.25,-0.25,0.25,1.0,0.0,1.0,1.0,0.0,1
2016/2017_m00006,3,2016,0.4693677588655298,0.47289486802029873,-0.003527109154768948,-2.459094450421617,0.0,0.25,-0.25,0.43527528164806206,0.43527528164806206,0.0,0.4094488188976378,0.4673913043478261,0.0,-0.25,-0.25,0.5,2.0,0.0,2.0,1.0,0.0,1
2016/2017_m00007,1,2016,0.5271051319797012,0.45805416163273216,0.06905097034696905,48.06867841490566,0.75,0.3333333333333333,0.4166666666666667,0.5647247183519379,0.3789291416275995,0.18579557672433844,0.532608695652174,0.4817708333333333,0.0,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00007,2,2016,0.5271051319797012,0.45805416163273216,0.06905097034696905,48.06867841490566,0.75,0.3333333333333333,0.4166666666666667,0.5647247183519379,0.3789291416275995,0.18579557672433844,0.532608695652174,0.4817708333333333,0.0,0.4166666666666667,0.4166666666666667,0.25,1.0,0.0,1.0,1.0,0.0,1
2016/2017_m00007,3,2016,0.5271051319797012,0.45805416163273216,0.06905097034696905,48.06867841490566,0.75,0.3333333333333333,0.4166666666666667,0.5647247183519379,0.3789291416275995,0.18579557672433844,0.532608695652174,0.4817708333333333,0.0,0.4166666666666667,0.4166666666666667,0.5,2.0,0.0,2.0,1.0,0.0,1
2016/2017_m00008,1,2016,0.516696219971617,0.4693677588655298,0.04732846110608718,32.918188900843006,0.6,0.0,0.6,0.5647247183519379,0.43527528164806206,0.12944943670387588,0.5174129353233831,0.43609022556390975,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00008,2,2016,0.516696219971617,0.4693677588655298,0.04732846110608718,32.918188900843006,0.6,0.0,0.6,0.5647247183519379,0.43527528164806206,0.12944943670387588,0.5174129353233831,0.43609022556390975,0.0,0.6,0.6,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00008,3,2016,0.516696219971617,0.4693677588655298,0.04732846110608718,32.918188900843006,0.6,0.0,0.6,0.5647247183519379,0.43527528164806206,0.12944943670387588,0.5174129353233831,0.43609022556390975,0.0,0.6,0.6,0.5,0.0,2.0,-2.0,0.0,0.0,1
2016/2017_m00008,4,2016,0.516696219971617,0.4693677588655298,0.04732846110608718,32.918188900843006,0.6,0.0,0.6,0.5647247183519379,0.43527528164806206,0.12944943670387588,0.5174129353233831,0.43609022556390975,0.0,0.6,0.6,0.75,1.0,2.0,-1.0,1.0,0.0,0
2016/2017_m00009,1,2016,0.4985520108197585,0.5,-0.0014479891802415268,-1.0061687501502092,0.42857142857142855,0.5,-0.07142857142857145,0.5083785783314754,0.5,0.008378578331475373,0.501577287066246,0.5,0.0,-0.07142857142857145,-0.07142857142857145,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00009,2,2016,0.4985520108197585,0.5,-0.0014479891802415268,-1.0061687501502092,0.42857142857142855,0.5,-0.07142857142857145,0.5083785783314754,0.5,0.008378578331475373,0.501577287066246,0.5,0.0,-0.07142857142857145,-0.07142857142857145,0.25,1.0,0.0,1.0,1.0,0.0,0
2016/2017_m00009,3,2016,0.4985520108197585,0.5,-0.0014479891802415268,-1.0061687501502092,0.42857142857142855,0.5,-0.07142857142857145,0.5083785783314754,0.5,0.008378578331475373,0.501577287066246,0.5,0.0,-0.07142857142857145,-0.07142857142857145,0.5,1.0,1.0,0.0,0.0,0.0,0
2016/2017_m00009,4,2016,0.4985520108197585,0.5,-0.0014479891802415268,-1.0061687501502092,0.42857142857142855,0.5,-0.07142857142857145,0.5083785783314754,0.5,0.008378578331475373,0.501577287066246,0.5,0.0,-0.07142857142857145,-0.07142857142857145,0.75,1.0,2.0,-1.0,0.0,0.0,0
2016/2017_m00010,1,2016,0.5,0.49122358493774193,0.00877641506225807,6.099104245119861,0.5,0.5,0.0,0.5,0.5083785783314754,-0.008378578331475373,0.5,0.49034749034749037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00010,2,2016,0.5,0.49122358493774193,0.00877641506225807,6.099104245119861,0.5,0.5,0.0,0.5,0.5083785783314754,-0.008378578331475373,0.5,0.49034749034749037,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,0.0,0
2016/2017_m00010,3,2016,0.5,0.49122358493774193,0.00877641506225807,6.099104245119861,0.5,0.5,0.0,0.5,0.5083785783314754,-0.008378578331475373,0.5,0.49034749034749037,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1
2016/2017_m00010,4,2016,0.5,0.49122358493774193,0.00877641506225807,6.099104245119861,0.5,0.5,0.0,0.5,0.5083785783314754,-0.008378578331475373,0.5,0.49034749034749037,0.0,0.0,0.0,0.75,2.0,1.0,1.0,1.0,0.0,0
2016/2017_m00010,5,2016,0.5,0.49122358493774193,0.00877641506225807,6.099104245119861,0.5,0.5,0.0,0.5,0.5083785783314754,-0.008378578331475373,0.5,0.49034749034749037,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1
2016/2017_m00011,1,2016,0.47151631818317935,0.48330378002838303,-0.011787461845203684,-8.207904856412142,0.36363636363636365,0.4,-0.036363636363636376,0.4425692577341486,0.43527528164806206,0.007293976086086562,0.4900398406374502,0.48258706467661694,0.0,-0.036363636363636376,-0.036363636363636376,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00011,2,2016,0.47151631818317935,0.48330378002838303,-0.011787461845203684,-8.207904856412142,0.36363636363636365,0.4,-0.036363636363636376,0.4425692577341486,0.43527528164806206,0.007293976086086562,0.4900398406374502,0.48258706467661694,0.0,-0.036363636363636376,-0.036363636363636376,0.25,1.0,0.0,1.0,1.0,0.0,0
2016/2017_m00011,3,2016,0.47151631818317935,0.48330378002838303,-0.011787461845203684,-8.207904856412142,0.36363636363636365,0.4,-0.036363636363636376,0.4425692577341486,0.43527528164806206,0.007293976086086562,0.4900398406374502,0.48258706467661694,0.0,-0.036363636363636376,-0.036363636363636376,0.5,1.0,1.0,0.0,0.0,0.0,0
2016/2017_m00011,4,2016,0.47151631818317935,0.48330378002838303,-0.011787461845203684,-8.207904856412142,0.36363636363636365,0.4,-0.036363636363636376,0.4425692577341486,0.43527528164806206,0.007293976086086562,0.4900398406374502,0.48258706467661694,0.0,-0.036363636363636376,-0.036363636363636376,0.75,1.0,2.0,-1.0,0.0,0.0,0
2016/2017_m00012,1,2016,0.45113143824745755,0.5306322411344703,-0.07950080288701272,-55.37825701541988,0.14285714285714285,1.0,-0.8571428571428572,0.3789291416275995,0.5647247183519379,-0.18579557672433844,0.4525316455696203,0.5905511811023622,0.0,-0.8571428571428572,-0.8571428571428572,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00012,2,2016,0.45113143824745755,0.5306322411344703,-0.07950080288701272,-55.37825701541988,0.14285714285714285,1.0,-0.8571428571428572,0.3789291416275995,0.5647247183519379,-0.18579557672433844,0.4525316455696203,0.5905511811023622,0.0,-0.8571428571428572,-0.8571428571428572,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00012,3,2016,0.45113143824745755,0.5306322411344703,-0.07950080288701272,-55.37825701541988,0.14285714285714285,1.0,-0.8571428571428572,0.3789291416275995,0.5647247183519379,-0.18579557672433844,0.4525316455696203,0.5905511811023622,0.0,-0.8571428571428572,-0.8571428571428572,0.5,0.0,2.0,-2.0,0.0,0.0,0
2016/2017_m00013,1,2016,0.5228209973034047,0.519198351233138,0.003622646070266744,2.521735868138194,0.6,0.75,-0.15000000000000002,0.5647247183519379,0.5647247183519379,0.0,0.5217391304347826,0.5141242937853108,0.0,-0.15000000000000002,-0.15000000000000002,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00013,2,2016,0.5228209973034047,0.519198351233138,0.003622646070266744,2.521735868138194,0.6,0.75,-0.15000000000000002,0.5647247183519379,0.5647247183519379,0.0,0.5217391304347826,0.5141242937853108,0.0,-0.15000000000000002,-0.15000000000000002,0.25,0.0,1.0,-1.0,0.0,0.0,1
2016/2017_m00013,3,2016,0.5228209973034047,0.519198351233138,0.003622646070266744,2.521735868138194,0.6,0.75,-0.15000000000000002,0.5647247183519379,0.5647247183519379,0.0,0.5217391304347826,0.5141242937853108,0.0,-0.15000000000000002,-0.15000000000000002,0.5,1.0,1.0,0.0,1.0,0.0,1
2016/2017_m00013,4,2016,0.5228209973034047,0.519198351233138,0.003622646070266744,2.521735868138194,0.6,0.75,-0.15000000000000002,0.5647247183519379,0.5647247183519379,0.0,0.5217391304347826,0.5141242937853108,0.0,-0.15000000000000002,-0.15000000000000002,0.75,2.0,1.0,1.0,1.0,0.0,1
2016/2017_m00014,1,2016,0.5569625782646209,0.43994865305312497,0.11701392521149595,81.68458359996293,1.0,0.25,0.75,0.6210708583724005,0.32987697769322355,0.29119388067917695,0.5769230769230769,0.4803738317757009,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00014,2,2016,0.5569625782646209,0.43994865305312497,0.11701392521149595,81.68458359996293,1.0,0.25,0.75,0.6210708583724005,0.32987697769322355,0.29119388067917695,0.5769230769230769,0.4803738317757009,0.0,0.75,0.75,0.25,0.0,1.0,-1.0,0.0,0.0,1
2016/2017_m00014,3,2016,0.5569625782646209,0.43994865305312497,0.11701392521149595,81.68458359996293,1.0,0.25,0.75,0.6210708583724005,0.32987697769322355,0.29119388067917695,0.5769230769230769,0.4803738317757009,0.0,0.75,0.75,0.5,1.0,1.0,0.0,1.0,0.0,0
2016/2017_m00014,4,2016,0.5569625782646209,0.43994865305312497,0.11701392521149595,81.68458359996293,1.0,0.25,0.75,0.6210708583724005,0.32987697769322355,0.29119388067917695,0.5769230769230769,0.4803738317757009,0.0,0.75,0.75,0.75,1.0,2.0,-1.0,0.0,0.0,1
2016/2017_m00014,5,2016,0.5569625782646209,0.43994865305312497,0.11701392521149595,81.68458359996293,1.0,0.25,0.75,0.6210708583724005,0.32987697769322355,0.29119388067917695,0.5769230769230769,0.4803738317757009,0.0,0.75,0.75,1.0,2.0,2.0,0.0,1.0,1.0,1
2016/2017_m00015,1,2016,0.5001630468447362,0.5453050819990986,-0.045142035154362325,-31.45448140106987,0.5,0.8571428571428571,-0.3571428571428571,0.4916214216685246,0.6210708583724005,-0.12944943670387588,0.49719101123595505,0.5283582089552239,0.0,-0.3571428571428571,-0.3571428571428571,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00015,2,2016,0.5001630468447362,0.5453050819990986,-0.045142035154362325,-31.45448140106987,0.5,0.8571428571428571,-0.3571428571428571,0.4916214216685246,0.6210708583724005,-0.12944943670387588,0.49719101123595505,0.5283582089552239,0.0,-0.3571428571428571,-0.3571428571428571,0.25,1.0,0.0,1.0,1.0,0.0,0
2016/2017_m00015,3,2016,0.5001630468447362,0.5453050819990986,-0.045142035154362325,-31.45448140106987,0.5,0.8571428571428571,-0.3571428571428571,0.4916214216685246,0.6210708583724005,-0.12944943670387588,0.49719101123595505,0.5283582089552239,0.0,-0.3571428571428571,-0.3571428571428571,0.5,1.0,1.0,0.0,0.0,0.0,0
2016/2017_m00015,4,2016,0.5001630468447362,0.5453050819990986,-0.045142035154362325,-31.45448140106987,0.5,0.8571428571428571,-0.3571428571428571,0.4916214216685246,0.6210708583724005,-0.12944943670387588,0.49719101123595505,0.5283582089552239,0.0,-0.3571428571428571,-0.3571428571428571,0.75,1.0,2.0,-1.0,0.0,0.0,0
2016/2017_m00016,1,2016,0.4278069654348609,0.4748836907703891,-0.0470767253355282,-33.05058520689886,0.29411764705882354,0.45454545454545453,-0.160427807486631,0.2871745887492587,0.4425692577341486,-0.1553946689848899,0.4787379972565158,0.4897119341563786,0.0,-0.160427807486631,-0.160427807486631,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00016,2,2016,0.4278069654348609,0.4748836907703891,-0.0470767253355282,-33.05058520689886,0.29411764705882354,0.45454545454545453,-0.160427807486631,0.2871745887492587,0.4425692577341486,-0.1553946689848899,0.4787379972565158,0.4897119341563786,0.0,-0.160427807486631,-0.160427807486631,0.25,1.0,0.0,1.0,1.0,0.0,1
2016/2017_m00016,3,2016,0.4278069654348609,0.4748836907703891,-0.0470767253355282,-33.05058520689886,0.29411764705882354,0.45454545454545453,-0.160427807486631,0.2871745887492587,0.4425692577341486,-0.1553946689848899,0.4787379972565158,0.4897119341563786,0.0,-0.160427807486631,-0.160427807486631,0.5,2.0,0.0,2.0,1.0,0.0,1
2016/2017_m00017,1,2016,0.4250047414276241,0.5163543141687741,-0.09134957274114996,-63.876392042935095,0.1,0.6,-0.5,0.32987697769322355,0.5647247183519379,-0.2348477406587144,0.44766146993318484,0.5110132158590308,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00017,2,2016,0.4250047414276241,0.5163543141687741,-0.09134957274114996,-63.876392042935095,0.1,0.6,-0.5,0.32987697769322355,0.5647247183519379,-0.2348477406587144,0.44766146993318484,0.5110132158590308,0.0,-0.5,-0.5,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00017,3,2016,0.4250047414276241,0.5163543141687741,-0.09134957274114996,-63.876392042935095,0.1,0.6,-0.5,0.32987697769322355,0.5647247183519379,-0.2348477406587144,0.44766146993318484,0.5110132158590308,0.0,-0.5,-0.5,0.5,0.0,2.0,-2.0,0.0,0.0,0
2016/2017_m00018,1,2016,0.5700353221435159,0.5421594985266486,0.027875823616867357,19.622450377421956,0.8181818181818182,0.75,0.06818181818181823,0.6701230223067765,0.6210708583724005,0.04905216393437595,0.524904214559387,0.532033426183844,0.0,0.06818181818181823,0.06818181818181823,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00018,2,2016,0.5700353221435159,0.5421594985266486,0.027875823616867357,19.622450377421956,0.8181818181818182,0.75,0.06818181818181823,0.6701230223067765,0.6210708583724005,0.04905216393437595,0.524904214559387,0.532033426183844,0.0,0.06818181818181823,0.06818181818181823,0.25,1.0,0.0,1.0,1.0,0.0,1
2016/2017_m00018,3,2016,0.5700353221435159,0.5421594985266486,0.027875823616867357,19.622450377421956,0.8181818181818182,0.75,0.06818181818181823,0.6701230223067765,0.6210708583724005,0.04905216393437595,0.524904214559387,0.532033426183844,0.0,0.06818181818181823,0.06818181818181823,0.5,2.0,0.0,2.0,1.0,0.0,1
2016/2017_m00019,1,2016,0.5417839345866762,0.3999051741414627,0.14187876044521347,99.60746798607806,0.6666666666666666,0.07692307692307693,0.5897435897435896,0.6210708583724005,0.2871745887492587,0.3338962696231418,0.5207253886010362,0.4440619621342513,0.0,0.5897435897435896,0.5897435897435896,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00019,2,2016,0.5417839345866762,0.3999051741414627,0.14187876044521347,99.60746798607806,0.6666666666666666,0.07692307692307693,0.5897435897435896,0.6210708583724005,0.2871745887492587,0.3338962696231418,0.5207253886010362,0.4440619621342513,0.0,0.5897435897435896,0.5897435897435896,0.25,1.0,0.0,1.0,1.0,0.0,1
2016/2017_m00019,3,2016,0.5417839345866762,0.3999051741414627,0.14187876044521347,99.60746798607806,0.6666666666666666,0.07692307692307693,0.5897435897435896,0.6210708583724005,0.2871745887492587,0.3338962696231418,0.5207253886010362,0.4440619621342513,0.0,0.5897435897435896,0.5897435897435896,0.5,2.0,0.0,2.0,1.0,0.0,1
2016/2017_m00020,1,2016,0.569123927262751,0.4751144934963843,0.09400943376636667,65.6483076238942,0.8181818181818182,0.4166666666666667,0.40151515151515155,0.6701230223067765,0.4279813055619755,0.24214171674480095,0.5550660792951542,0.49171270718232046,0.0,0.40151515151515155,0.40151515151515155,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00020,2,2016,0.569123927262751,0.4751144934963843,0.09400943376636667,65.6483076238942,0.8181818181818182,0.4166666666666667,0.40151515151515155,0.6701230223067765,0.4279813055619755,0.24214171674480095,0.5550660792951542,0.49171270718232046,0.0,0.40151515151515155,0.40151515151515155,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00020,3,2016,0.569123927262751,0.4751144934963843,0.09400943376636667,65.6483076238942,0.8181818181818182,0.4166666666666667,0.40151515151515155,0.6701230223067765,0.4279813055619755,0.24214171674480095,0.5550660792951542,0.49171270718232046,0.0,0.40151515151515155,0.40151515151515155,0.5,0.0,2.0,-2.0,0.0,0.0,1
2016/2017_m00020,4,2016,0.569123927262751,0.4751144934963843,0.09400943376636667,65.6483076238942,0.8181818181818182,0.4166666666666667,0.40151515151515155,0.6701230223067765,0.4279813055619755,0.24214171674480095,0.5550660792951542,0.49171270718232046,0.0,0.40151515151515155,0.40151515151515155,0.75,1.0,2.0,-1.0,1.0,0.0,1
2016/2017_m00020,5,2016,0.569123927262751,0.4751144934963843,0.09400943376636667,65.6483076238942,0.8181818181818182,0.4166666666666667,0.40151515151515155,0.6701230223067765,0.4279813055619755,0.24214171674480095,0.5550660792951542,0.49171270718232046,0.0,0.40151515151515155,0.40151515151515155,1.0,2.0,2.0,0.0,1.0,1.0,1
2016/2017_m00021,1,2016,0.589806322378682,0.4508573444567288,0.1389489779219532,97.34659688653574,0.8571428571428571,0.35714285714285715,0.49999999999999994,0.7128254112507413,0.3852789166180106,0.32754649463273067,0.5328244274809161,0.4848966613672496,0.0,0.49999999999999994,0.49999999999999994,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00021,2,2016,0.589806322378682,0.4508573444567288,0.1389489779219532,97.34659688653574,0.8571428571428571,0.35714285714285715,0.49999999999999994,0.7128254112507413,0.3852789166180106,0.32754649463273067,0.5328244274809161,0.4848966613672496,0.0,0.49999999999999994,0.49999999999999994,0.25,1.0,0.0,1.0,1.0,0.0,0
2016/2017_m00021,3,2016,0.589806322378682,0.4508573444567288,0.1389489779219532,97.34659688653574,0.8571428571428571,0.35714285714285715,0.49999999999999994,0.7128254112507413,0.3852789166180106,0.32754649463273067,0.5328244274809161,0.4848966613672496,0.0,0.49999999999999994,0.49999999999999994,0.5,1.0,1.0,0.0,0.0,0.0,0
2016/2017_m00021,4,2016,0.589806322378682,0.4508573444567288,0.1389489779219532,97.34659688653574,0.8571428571428571,0.35714285714285715,0.49999999999999994,0.7128254112507413,0.3852789166180106,0.32754649463273067,0.5328244274809161,0.4848966613672496,0.0,0.49999999999999994,0.49999999999999994,0.75,1.0,2.0,-1.0,0.0,0.0,0
2016/2017_m00022,1,2016,0.521953337974499,0.5565785172059232,-0.034625179231424164,-24.219328118421345,0.5454545454545454,0.75,-0.20454545454545459,0.5406735856029006,0.6701230223067765,-0.12944943670387588,0.5060975609756098,0.5283018867924528,0.0,-0.20454545454545459,-0.20454545454545459,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00022,2,2016,0.521953337974499,0.5565785172059232,-0.034625179231424164,-24.219328118421345,0.5454545454545454,0.75,-0.20454545454545459,0.5406735856029006,0.6701230223067765,-0.12944943670387588,0.5060975609756098,0.5283018867924528,0.0,-0.20454545454545459,-0.20454545454545459,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00022,3,2016,0.521953337974499,0.5565785172059232,-0.034625179231424164,-24.219328118421345,0.5454545454545454,0.75,-0.20454545454545459,0.5406735856029006,0.6701230223067765,-0.12944943670387588,0.5060975609756098,0.5283018867924528,0.0,-0.20454545454545459,-0.20454545454545459,0.5,0.0,2.0,-2.0,0.0,0.0,0
2016/2017_m00023,1,2016,0.5306322411344703,0.5270401536197858,0.0035920875146844278,2.5043788002026304,1.0,0.75,0.25,0.5647247183519379,0.5647247183519379,0.0,0.5639097744360902,0.5297297297297298,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00023,2,2016,0.5306322411344703,0.5270401536197858,0.0035920875146844278,2.5043788002026304,1.0,0.75,0.25,0.5647247183519379,0.5647247183519379,0.0,0.5639097744360902,0.5297297297297298,0.0,0.25,0.25,0.25,0.0,1.0,-1.0,0.0,0.0,1
2016/2017_m00023,3,2016,0.5306322411344703,0.5270401536197858,0.0035920875146844278,2.5043788002026304,1.0,0.75,0.25,0.5647247183519379,0.5647247183519379,0.0,0.5639097744360902,0.5297297297297298,0.0,0.25,0.25,0.5,1.0,1.0,0.0,1.0,0.0,1
2016/2017_m00023,4,2016,0.5306322411344703,0.5270401536197858,0.0035920875146844278,2.5043788002026304,1.0,0.75,0.25,0.5647247183519379,0.5647247183519379,0.0,0.5639097744360902,0.5297297297297298,0.0,0.25,0.25,0.75,2.0,1.0,1.0,1.0,0.0,0
2016/2017_m00023,5,2016,0.5306322411344703,0.5270401536197858,0.0035920875146844278,2.5043788002026304,1.0,0.75,0.25,0.5647247183519379,0.5647247183519379,0.0,0.5639097744360902,0.5297297297297298,0.0,0.25,0.25,1.0,2.0,2.0,0.0,0.0,1.0,1
2016/2017_m00024,1,2016,0.38565314744852724,0.45161515504157396,-0.06596200759304671,-47.159928225249814,0.0625,0.4,-0.3375,0.24999999999999997,0.3794494367038759,-0.1294494367038759,0.44551724137931037,0.4873853211009174,0.0,-0.3375,-0.3375,0.0,0.0,0.0,0.0,0.5,0.0,1
