partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,elo_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,diff_set_ratio,diff_dominancia,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2025/2026_Cuneo_Lube_1Round,2,0.25,0.4532,0.5468,-0.09360000000000002,-62.6,0.5476,0.5352,0.012399999999999967,0.5385,0.6,-0.0615,3.6621,4.4279,0.0,-0.04619999999999991,-0.1131,0,1,-1,0.0,0,0
2025/2026_Cuneo_Lube_1Round,3,0.5,0.4532,0.5468,-0.09360000000000002,-62.6,0.5476,0.5352,0.012399999999999967,0.5385,0.6,-0.0615,3.6621,4.4279,0.0,-0.04619999999999991,-0.1131,0,2,-2,0.0,0,0
2025/2026_Cuneo_Lube_8Round,1,0.0,0.7214,0.27859999999999996,0.4428000000000001,135.3,0.5426,0.4878,0.05479999999999996,0.6,0.4,0.19999999999999996,2.0831,2.3968,0.0,0.10749999999999993,0.2151,0,0,0,0.5,0,1
2025/2026_Cuneo_Lube_8Round,2,0.25,0.7214,0.27859999999999996,0.4428000000000001,135.3,0.5426,0.4878,0.05479999999999996,0.6,0.4,0.19999999999999996,2.0831,2.3968,0.0,0.10749999999999993,0.2151,1,0,1,1.0,0,1
2025/2026_Cuneo_Lube_8Round,3,0.5,0.7214,0.27859999999999996,0.4428000000000001,135.3,0.5426,0.4878,0.05479999999999996,0.6,0.4,0.19999999999999996,2.0831,2.3968,0.0,0.10749999999999993,0.2151,2,0,2,1.0,0,1
2025/2026_Cuneo_Milan_11Round,1,0.0,0.6936,0.3064,0.3872,111.9,0.4727,0.4365,0.03620000000000001,0.4667,0.4,0.06669999999999998,1.0495,1.5774,0.0,0.0786,0.1571,0,0,0,0.5,0,1
2025/2026_Cuneo_Milan_11Round,2,0.25,0.6936,0.3064,0.3872,111.9,0.4727,0.4365,0.03620000000000001,0.4667,0.4,0.06669999999999998,1.0495,1.5774,0.0,0.0786,0.1571,1,0,1,1.0,0,1
2025/2026_Cuneo_Milan_11Round,3,0.5,0.6936,0.3064,0.3872,111.9,0.4727,0.4365,0.03620000000000001,0.4667,0.4,0.06669999999999998,1.0495,1.5774,0.0,0.0786,0.1571,2,0,2,1.0,0,1
2025/2026_Cuneo_Milan_9Round,1,0.0,0.3965,0.6034999999999999,-0.20699999999999996,-103.0,0.4538,0.4767,-0.02290000000000003,0.4,0.4667,-0.06669999999999998,1.5433,1.3467,0.0,-0.10849999999999999,-0.217,0,0,0,0.5,0,0
2025/2026_Cuneo_Milan_9Round,2,0.25,0.3965,0.6034999999999999,-0.20699999999999996,-103.0,0.4538,0.4767,-0.02290000000000003,0.4,0.4667,-0.06669999999999998,1.5433,1.3467,0.0,-0.10849999999999999,-0.217,0,1,-1,0.0,0,0
2025/2026_Cuneo_Milan_9Round,3,0.5,0.3965,0.6034999999999999,-0.20699999999999996,-103.0,0.4538,0.4767,-0.02290000000000003,0.4,0.4667,-0.06669999999999998,1.5433,1.3467,0.0,-0.10849999999999999,-0.217,0,2,-2,0.0,0,1
2025/2026_Cuneo_Milan_9Round,4,0.75,0.3965,0.6034999999999999,-0.20699999999999996,-103.0,0.4538,0.4767,-0.02290000000000003,0.4,0.4667,-0.06669999999999998,1.5433,1.3467,0.0,-0.10849999999999999,-0.217,1,2,-1,1.0,0,0
2025/2026_Cuneo_Moden_2Round,1,0.0,0.5695,0.4305,0.139,18.6,0.5032,0.5433,-0.040100000000000025,0.4667,0.4167,0.04999999999999999,3.4087,3.1765,0.0,-0.047599999999999976,-0.0867,0,0,0,0.5,0,1
2025/2026_Cuneo_Moden_2Round,2,0.25,0.5695,0.4305,0.139,18.6,0.5032,0.5433,-0.040100000000000025,0.4667,0.4167,0.04999999999999999,3.4087,3.1765,0.0,-0.047599999999999976,-0.0867,1,0,1,1.0,0,1
2025/2026_Cuneo_Moden_2Round,3,0.5,0.5695,0.4305,0.139,18.6,0.5032,0.5433,-0.040100000000000025,0.4667,0.4167,0.04999999999999999,3.4087,3.1765,0.0,-0.047599999999999976,-0.0867,2,0,2,1.0,0,1
2025/2026_Cuneo_Moden_7Round,1,0.0,0.401,0.599,-0.19799999999999995,-99.7,0.4866,0.5113,-0.0247,0.4667,0.4667,0.0,1.9292,2.4781,0.0,-0.11830000000000002,-0.23659999999999998,0,0,0,0.5,0,0
2025/2026_Cuneo_Moden_7Round,2,0.25,0.401,0.599,-0.19799999999999995,-99.7,0.4866,0.5113,-0.0247,0.4667,0.4667,0.0,1.9292,2.4781,0.0,-0.11830000000000002,-0.23659999999999998,0,1,-1,0.0,0,1
2025/2026_Cuneo_Moden_7Round,3,0.5,0.401,0.599,-0.19799999999999995,-99.7,0.4866,0.5113,-0.0247,0.4667,0.4667,0.0,1.9292,2.4781,0.0,-0.11830000000000002,-0.23659999999999998,1,1,0,1.0,0,0
2025/2026_Cuneo_Moden_7Round,4,0.75,0.401,0.599,-0.19799999999999995,-99.7,0.4866,0.5113,-0.0247,0.4667,0.4667,0.0,1.9292,2.4781,0.0,-0.11830000000000002,-0.23659999999999998,1,2,-1,0.0,0,1
2025/2026_Cuneo_Moden_7Round,5,1.0,0.401,0.599,-0.19799999999999995,-99.7,0.4866,0.5113,-0.0247,0.4667,0.4667,0.0,1.9292,2.4781,0.0,-0.11830000000000002,-0.23659999999999998,2,2,0,1.0,1,0
2025/2026_Cuneo_Monza_3Round,1,0.0,0.4592,0.5408,-0.0816,-58.4,0.524,0.5271,-0.0030999999999999917,0.4,0.3846,0.015400000000000025,2.067,2.7888,0.0,-0.02980000000000005,-0.0542,0,0,0,0.5,0,0
2025/2026_Cuneo_Monza_3Round,2,0.25,0.4592,0.5408,-0.0816,-58.4,0.524,0.5271,-0.0030999999999999917,0.4,0.3846,0.015400000000000025,2.067,2.7888,0.0,-0.02980000000000005,-0.0542,0,1,-1,0.0,0,1
2025/2026_Cuneo_Monza_3Round,3,0.5,0.4592,0.5408,-0.0816,-58.4,0.524,0.5271,-0.0030999999999999917,0.4,0.3846,0.015400000000000025,2.067,2.7888,0.0,-0.02980000000000005,-0.0542,1,1,0,1.0,0,1
2025/2026_Cuneo_Monza_3Round,4,0.75,0.4592,0.5408,-0.0816,-58.4,0.524,0.5271,-0.0030999999999999917,0.4,0.3846,0.015400000000000025,2.067,2.7888,0.0,-0.02980000000000005,-0.0542,2,1,1,1.0,0,1
2025/2026_Cuneo_Monza_7Round,1,0.0,0.5855,0.4145,0.17100000000000004,30.0,0.483,0.5161,-0.03310000000000002,0.4,0.3333,0.06670000000000004,2.0915,1.8538,0.0,0.023799999999999988,0.0476,0,0,0,0.5,0,0
2025/2026_Cuneo_Monza_7Round,2,0.25,0.5855,0.4145,0.17100000000000004,30.0,0.483,0.5161,-0.03310000000000002,0.4,0.3333,0.06670000000000004,2.0915,1.8538,0.0,0.023799999999999988,0.0476,0,1,-1,0.0,0,1
2025/2026_Cuneo_Monza_7Round,3,0.5,0.5855,0.4145,0.17100000000000004,30.0,0.483,0.5161,-0.03310000000000002,0.4,0.3333,0.06670000000000004,2.0915,1.8538,0.0,0.023799999999999988,0.0476,1,1,0,1.0,0,1
2025/2026_Cuneo_Monza_7Round,4,0.75,0.5855,0.4145,0.17100000000000004,30.0,0.483,0.5161,-0.03310000000000002,0.4,0.3333,0.06670000000000004,2.0915,1.8538,0.0,0.023799999999999988,0.0476,2,1,1,1.0,0,0
2025/2026_Cuneo_Monza_7Round,5,1.0,0.5855,0.4145,0.17100000000000004,30.0,0.483,0.5161,-0.03310000000000002,0.4,0.3333,0.06670000000000004,2.0915,1.8538,0.0,0.023799999999999988,0.0476,2,2,0,0.0,1,1
2025/2026_Cuneo_Padov_10Round,1,0.0,0.523,0.477,0.04600000000000004,-14.0,0.4477,0.4681,-0.02040000000000003,0.4,0.4,0.0,1.5942,1.0203,0.0,-0.023599999999999954,-0.04720000000000002,0,0,0,0.5,0,1
2025/2026_Cuneo_Padov_10Round,2,0.25,0.523,0.477,0.04600000000000004,-14.0,0.4477,0.4681,-0.02040000000000003,0.4,0.4,0.0,1.5942,1.0203,0.0,-0.023599999999999954,-0.04720000000000002,1,0,1,1.0,0,0
2025/2026_Cuneo_Padov_10Round,3,0.5,0.523,0.477,0.04600000000000004,-14.0,0.4477,0.4681,-0.02040000000000003,0.4,0.4,0.0,1.5942,1.0203,0.0,-0.023599999999999954,-0.04720000000000002,1,1,0,0.0,0,1
2025/2026_Cuneo_Padov_10Round,4,0.75,0.523,0.477,0.04600000000000004,-14.0,0.4477,0.4681,-0.02040000000000003,0.4,0.4,0.0,1.5942,1.0203,0.0,-0.023599999999999954,-0.04720000000000002,2,1,1,1.0,0,0
2025/2026_Cuneo_Padov_10Round,5,1.0,0.523,0.477,0.04600000000000004,-14.0,0.4477,0.4681,-0.02040000000000003,0.4,0.4,0.0,1.5942,1.0203,0.0,-0.023599999999999954,-0.04720000000000002,2,2,0,0.0,1,0
2025/2026_Cuneo_Padov_1Round,1,0.0,0.4847,0.5153,-0.03059999999999996,-40.7,0.4869,0.5333,-0.0464,0.4,0.4545,-0.05449999999999999,3.2149,3.2823,0.0,-0.0685,-0.1209,0,0,0,0.5,0,1
2025/2026_Cuneo_Padov_1Round,2,0.25,0.4847,0.5153,-0.03059999999999996,-40.7,0.4869,0.5333,-0.0464,0.4,0.4545,-0.05449999999999999,3.2149,3.2823,0.0,-0.0685,-0.1209,1,0,1,1.0,0,0
2025/2026_Cuneo_Padov_1Round,3,0.5,0.4847,0.5153,-0.03059999999999996,-40.7,0.4869,0.5333,-0.0464,0.4,0.4545,-0.05449999999999999,3.2149,3.2823,0.0,-0.0685,-0.1209,1,1,0,0.0,0,1
2025/2026_Cuneo_Padov_1Round,4,0.75,0.4847,0.5153,-0.03059999999999996,-40.7,0.4869,0.5333,-0.0464,0.4,0.4545,-0.05449999999999999,3.2149,3.2823,0.0,-0.0685,-0.1209,2,1,1,1.0,0,0
2025/2026_Cuneo_Padov_1Round,5,1.0,0.4847,0.5153,-0.03059999999999996,-40.7,0.4869,0.5333,-0.0464,0.4,0.4545,-0.05449999999999999,3.2149,3.2823,0.0,-0.0685,-0.1209,2,2,0,0.0,1,1
2025/2026_Cuneo_Perug_11Round,1,0.0,0.9049,0.09509999999999996,0.8098000000000001,361.3,0.5163,0.4272,0.08909999999999996,0.6,0.3333,0.2667,3.1431,1.3881,0.0,0.264,0.528,0,0,0,0.5,0,1
2025/2026_Cuneo_Perug_11Round,2,0.25,0.9049,0.09509999999999996,0.8098000000000001,361.3,0.5163,0.4272,0.08909999999999996,0.6,0.3333,0.2667,3.1431,1.3881,0.0,0.264,0.528,1,0,1,1.0,0,1
2025/2026_Cuneo_Perug_11Round,3,0.5,0.9049,0.09509999999999996,0.8098000000000001,361.3,0.5163,0.4272,0.08909999999999996,0.6,0.3333,0.2667,3.1431,1.3881,0.0,0.264,0.528,2,0,2,1.0,0,1
2025/2026_Cuneo_Perug_5Round,1,0.0,0.3107,0.6893,-0.37860000000000005,-168.5,0.5239,0.4984,0.025500000000000023,0.5333,0.6667,-0.13339999999999996,2.7378,3.4789,0.0,-0.07839999999999997,-0.1568,0,0,0,0.5,0,0
2025/2026_Cuneo_Perug_5Round,2,0.25,0.3107,0.6893,-0.37860000000000005,-168.5,0.5239,0.4984,0.025500000000000023,0.5333,0.6667,-0.13339999999999996,2.7378,3.4789,0.0,-0.07839999999999997,-0.1568,0,1,-1,0.0,0,0
2025/2026_Cuneo_Perug_5Round,3,0.5,0.3107,0.6893,-0.37860000000000005,-168.5,0.5239,0.4984,0.025500000000000023,0.5333,0.6667,-0.13339999999999996,2.7378,3.4789,0.0,-0.07839999999999997,-0.1568,0,2,-2,0.0,0,0
2025/2026_Cuneo_Piace_3Round,1,0.0,0.667,0.33299999999999996,0.3340000000000001,90.7,0.497,0.5158,-0.01880000000000004,0.4667,0.3571,0.10960000000000003,3.1179,2.614,0.0,-0.03469999999999995,-0.0668,0,0,0,0.5,0,1
2025/2026_Cuneo_Piace_3Round,2,0.25,0.667,0.33299999999999996,0.3340000000000001,90.7,0.497,0.5158,-0.01880000000000004,0.4667,0.3571,0.10960000000000003,3.1179,2.614,0.0,-0.03469999999999995,-0.0668,1,0,1,1.0,0,1
2025/2026_Cuneo_Piace_3Round,3,0.5,0.667,0.33299999999999996,0.3340000000000001,90.7,0.497,0.5158,-0.01880000000000004,0.4667,0.3571,0.10960000000000003,3.1179,2.614,0.0,-0.03469999999999995,-0.0668,2,0,2,1.0,0,1
2025/2026_Cuneo_Piace_4Round,1,0.0,0.4284,0.5716,-0.1432,-80.1,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,0.016700000000000048,0.0333,0,0,0,0.5,0,1
2025/2026_Cuneo_Piace_4Round,2,0.25,0.4284,0.5716,-0.1432,-80.1,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,0.016700000000000048,0.0333,1,0,1,1.0,0,1
2025/2026_Cuneo_Piace_4Round,3,0.5,0.4284,0.5716,-0.1432,-80.1,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,0.016700000000000048,0.0333,2,0,2,1.0,0,0
2025/2026_Cuneo_Piace_4Round,4,0.75,0.4284,0.5716,-0.1432,-80.1,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,0.016700000000000048,0.0333,2,1,1,0.0,0,0
2025/2026_Cuneo_Piace_4Round,5,1.0,0.4284,0.5716,-0.1432,-80.1,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,0.016700000000000048,0.0333,2,2,0,0.0,1,0
2025/2026_Cuneo_Trent_6Round,1,0.0,0.3597,0.6403,-0.28059999999999996,-130.2,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,-0.08429999999999999,-0.1686,0,0,0,0.5,0,1
2025/2026_Cuneo_Trent_6Round,2,0.25,0.3597,0.6403,-0.28059999999999996,-130.2,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,-0.08429999999999999,-0.1686,1,0,1,1.0,0,0
2025/2026_Cuneo_Trent_6Round,3,0.5,0.3597,0.6403,-0.28059999999999996,-130.2,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,-0.08429999999999999,-0.1686,1,1,0,0.0,0,0
2025/2026_Cuneo_Trent_6Round,4,0.75,0.3597,0.6403,-0.28059999999999996,-130.2,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,-0.08429999999999999,-0.1686,1,2,-1,0.0,0,0
2025/2026_Cuneo_Trent_8Round,1,0.0,0.7578,0.24219999999999997,0.5156000000000001,168.2,0.5,0.476,0.02400000000000002,0.6,0.4,0.19999999999999996,2.7254,2.0249,0.0,0.10249999999999998,0.2049,0,0,0,0.5,0,1
2025/2026_Cuneo_Trent_8Round,2,0.25,0.7578,0.24219999999999997,0.5156000000000001,168.2,0.5,0.476,0.02400000000000002,0.6,0.4,0.19999999999999996,2.7254,2.0249,0.0,0.10249999999999998,0.2049,1,0,1,1.0,0,1
2025/2026_Cuneo_Trent_8Round,3,0.5,0.7578,0.24219999999999997,0.5156000000000001,168.2,0.5,0.476,0.02400000000000002,0.6,0.4,0.19999999999999996,2.7254,2.0249,0.0,0.10249999999999998,0.2049,2,0,2,1.0,0,1
2025/2026_Cuneo_Veron_10Round,1,0.0,0.2211,0.7789,-0.5578000000000001,-248.7,0.4461,0.4887,-0.04260000000000003,0.4,0.6,-0.19999999999999996,1.8338,2.6912,0.0,-0.24520000000000003,-0.4905,0,0,0,0.5,0,0
2025/2026_Cuneo_Veron_10Round,2,0.25,0.2211,0.7789,-0.5578000000000001,-248.7,0.4461,0.4887,-0.04260000000000003,0.4,0.6,-0.19999999999999996,1.8338,2.6912,0.0,-0.24520000000000003,-0.4905,0,1,-1,0.0,0,0
