partido_id,temporada,jornada_num,local,visitante,h_win_rate_global,h_win_rate_last5,h_win_rate_home,h_win_rate_away,h_pts_fav_exp,h_pts_con_exp,h_set_win_rate,h_set_diff_exp,h_forma_home,h_forma_away,h_ultimo_set_diff,h_racha,h_h2h_set_diff_exp,h_h2h_win_rate,a_win_rate_global,a_win_rate_last5,a_win_rate_home,a_win_rate_away,a_pts_fav_exp,a_pts_con_exp,a_set_win_rate,a_set_diff_exp,a_forma_home,a_forma_away,a_ultimo_set_diff,a_racha,a_h2h_set_diff_exp,a_h2h_win_rate,diff_win_rate_global,diff_win_rate_last5,diff_set_win_rate,diff_set_diff_exp,diff_pts_fav_exp,diff_pts_con_exp,diff_racha,diff_ultimo_set_diff,diff_rank_season,diff_forma_efectiva,h_descanso,a_descanso,diff_descanso,h_rank_season,a_rank_season,elo_h,elo_a,elo_h_home,elo_a_away,elo_diff,elo_win_prob_h,set_ratio_h,set_ratio_a,point_ratio_h,point_ratio_a,dominancia_h,dominancia_a,diff_set_ratio,diff_dominancia,sos_h,sos_a,diff_sos,h_roster_continuity,a_roster_continuity,diff_roster_continuity,gana_local
2016/2017_Gi Gr_Veron_4Round,2016/2017,4,Verona,Monza,0.5,0.5,0.5,0.5,23.2,22.2,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.5,0.5,0.5,0.5,22.2,23.2,0.5,0.0,0.5083785783314754,0.5083785783314754,0,1,0.0,0.5,0.0,0.0,0.0,0.0,1.0,-1.0,-1,0,0,-0.008378578331475373,7,7,0,0,0,1500.0,1493.9008957548801,1560.0,1493.9008957548801,6.099104245119861,0.5939929749884243,0.5,0.5,0.5,0.49034749034749037,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Basi _Centr_5Round,2016/2017,5,Basi Grafiche Geosat Lagonegro,Centrale del Latte McDonald's Brescia,0.3333333333333333,0.3333333333333333,0.0,1.0,21.0,21.75,0.36363636363636365,-1.0,0.4425692577341486,0.4425692577341486,0,-1,0.0,0.5,0.0,0.0,0.0,0.0,21.75,21.0,0.4,-1.0,0.43527528164806206,0.43527528164806206,0,-1,0.0,0.5,0.3333333333333333,0.3333333333333333,-0.036363636363636376,0.0,-0.75,0.75,0,0,0,0.007293976086086562,7,7,0,0,0,1480.1860581463986,1488.3939630028108,1540.1860581463986,1488.3939630028108,-8.207904856412142,0.5739875819196575,0.36363636363636365,0.4,0.4900398406374502,0.48258706467661694,-0.13636363636363635,-0.09999999999999998,-0.036363636363636376,-0.036363636363636376,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Lube_Milan_5Round,2016/2017,5,Milano,Lube,0.0,0.0,0.0,0.0,19.333333333333332,25.0,0.14285714285714285,-2.5,0.3789291416275995,0.3789291416275995,0,-2,0.0,0.5,1.0,1.0,1.0,1.0,25.0,19.333333333333332,1.0,3.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,-1.0,-1.0,-0.8571428571428572,-5.5,-5.666666666666668,5.666666666666668,-3,0,0,-0.18579557672433844,7,7,0,0,0,1465.933894888234,1521.3121519036538,1525.933894888234,1521.3121519036538,-55.37825701541988,0.5066508305177226,0.14285714285714285,1.0,0.4525316455696203,0.5905511811023622,-0.35714285714285715,0.5,-0.8571428571428572,-0.8571428571428572,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Diate_Sir S_6Round,2016/2017,6,Trento,Perugia,1.0,1.0,1.0,1.0,23.25,21.5,0.6,1.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,1.0,1.0,1.0,1.0,21.5,23.25,0.75,2.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,0.0,0.0,-0.15000000000000002,-1.0,1.75,-1.75,0,0,0,0.0,7,7,0,0,0,1515.8686784149058,1513.3469425467677,1575.8686784149058,1513.3469425467677,2.521735868138194,0.5890172052542012,0.6,0.75,0.5217391304347826,0.5141242937853108,0.09999999999999998,0.25,-0.15000000000000002,-0.15000000000000002,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Kioen_Lube_6Round,2016/2017,6,Lube,Padova,1.0,1.0,1.0,1.0,20.4,18.4,1.0,3.0,0.6210708583724005,0.6210708583724005,0,2,0.0,0.5,0.0,0.0,0.0,0.0,18.4,20.4,0.25,-2.0,0.32987697769322355,0.32987697769322355,0,-3,0.0,0.5,1.0,1.0,0.75,5.0,2.0,-2.0,5,0,0,0.29119388067917695,7,7,0,0,0,1539.7542421344988,1458.0696585345358,1599.7542421344988,1458.0696585345358,81.68458359996293,0.6933019754686144,1.0,0.25,0.5769230769230769,0.4803738317757009,0.5,-0.25,0.75,0.75,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Azimu_Sir S_7Round,2016/2017,7,Perugia,Modena,0.5,0.5,1.0,0.0,22.5,24.25,0.5,0.0,0.4916214216685246,0.4916214216685246,0,-1,0.0,0.5,1.0,1.0,1.0,1.0,24.25,22.5,0.8571428571428571,2.5,0.6210708583724005,0.6210708583724005,0,2,0.0,0.5,-0.5,-0.5,-0.3571428571428571,-2.5,-1.75,1.75,-3,0,0,-0.12944943670387588,7,7,0,0,0,1500.113296555953,1531.5677779570228,1560.113296555953,1531.5677779570228,-31.45448140106987,0.5409881167226581,0.5,0.8571428571428571,0.49719101123595505,0.5283582089552239,0.0,0.3571428571428571,-0.3571428571428571,-0.3571428571428571,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Gi Gr_Kioen_7Round,2016/2017,7,Padova,Monza,0.0,0.0,0.0,0.0,25.333333333333332,22.333333333333332,0.29411764705882354,-1.75,0.2871745887492587,0.2871745887492587,0,-4,0.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,22.333333333333332,25.333333333333332,0.45454545454545453,-0.3333333333333333,0.4425692577341486,0.4425692577341486,0,-1,0.0,0.5,-0.3333333333333333,-0.3333333333333333,-0.160427807486631,-1.4166666666666667,3.0,-3.0,-3,0,0,-0.1553946689848899,7,7,0,0,0,1449.482113847657,1482.532699054556,1509.482113847657,1482.532699054556,-33.05058520689886,0.5387057311529796,0.29411764705882354,0.45454545454545453,0.4787379972565158,0.4897119341563786,-0.20588235294117646,-0.04545454545454547,-0.160427807486631,-0.160427807486631,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Milan_Veron_7Round,2016/2017,7,Milano,Verona,0.0,0.0,0.0,0.0,19.0,25.0,0.1,-2.6666666666666665,0.32987697769322355,0.32987697769322355,0,-3,0.0,0.5,1.0,1.0,1.0,1.0,25.0,19.0,0.6,1.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,-1.0,-1.0,-0.5,-3.6666666666666665,-6.0,6.0,-4,0,0,-0.2348477406587144,7,7,0,0,0,1447.491804657389,1511.368196700324,1507.491804657389,1511.368196700324,-63.876392042935095,0.4944216548831411,0.1,0.6,0.44766146993318484,0.5110132158590308,-0.4,0.09999999999999998,-0.5,-0.5,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Azimu_Veron_8Round,2016/2017,8,Modena,Verona,1.0,1.0,1.0,1.0,25.0,19.333333333333332,0.8181818181818182,2.3333333333333335,0.6701230223067765,0.6701230223067765,0,3,0.0,0.5,1.0,1.0,1.0,1.0,19.333333333333332,25.0,0.75,2.0,0.6210708583724005,0.6210708583724005,0,2,0.0,0.5,0.0,0.0,0.06818181818181823,0.3333333333333335,5.666666666666668,-5.666666666666668,1,0,0,0.04905216393437595,7,7,0,0,0,1548.9875953154924,1529.3651449380704,1608.9875953154924,1529.3651449380704,19.622450377421956,0.6126211747371532,0.8181818181818182,0.75,0.524904214559387,0.532033426183844,0.31818181818181823,0.25,0.06818181818181823,0.06818181818181823,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Diate_Milan_8Round,2016/2017,8,Trento,Milano,1.0,1.0,1.0,1.0,26.333333333333332,21.666666666666668,0.6666666666666666,1.5,0.6210708583724005,0.6210708583724005,0,2,0.0,0.5,0.0,0.0,0.0,0.0,21.666666666666668,26.333333333333332,0.07692307692307693,-2.75,0.2871745887492587,0.2871745887492587,0,-4,0.0,0.5,1.0,1.0,0.5897435897435896,4.25,4.666666666666664,-4.666666666666664,6,0,0,0.3338962696231418,7,7,0,0,0,1529.1023244057205,1429.4948564196425,1589.1023244057205,1429.4948564196425,99.60746798607806,0.7147923238680329,0.6666666666666666,0.07692307692307693,0.5207253886010362,0.4440619621342513,0.16666666666666663,-0.4230769230769231,0.5897435897435896,0.5897435897435896,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
