season,home_club,away_club,home_sets,away_sets
2025/2026,Lube Civitanova,Monza,3,0
2025/2026,Milano,Cuneo Volley,3,0
2025/2026,Modena,Verona,3,1
2025/2026,Padova,Piacenza,3,2
2025/2026,Perugia,Grottazzolina,3,0
2025/2026,Trentino,Cisterna,3,0
2025/2026,Monza,Milano,3,1
2025/2026,Cuneo Volley,Padova,2,3
2025/2026,Grottazzolina,Modena,0,3
2025/2026,Piacenza,Trentino,3,1
2025/2026,Cisterna,Lube Civitanova,2,3
2025/2026,Verona,Perugia,0,3
2025/2026,Milano,Verona,0,3
2025/2026,Perugia,Piacenza,3,2
2025/2026,Cisterna,Cuneo Volley,3,0
2025/2026,Trentino,Grottazzolina,3,2
2025/2026,Lube Civitanova,Modena,2,3
2025/2026,Monza,Padova,3,0
2025/2026,Modena,Milano,3,0
2025/2026,Piacenza,Cisterna,3,0
2025/2026,Verona,Lube Civitanova,0,3
2025/2026,Padova,Perugia,1,3
2025/2026,Trentino,Cuneo Volley,3,0
2025/2026,Grottazzolina,Monza,0,3
2025/2026,Cisterna,Verona,0,3
2025/2026,Cuneo Volley,Monza,3,2
2025/2026,Grottazzolina,Padova,2,3
2025/2026,Perugia,Trentino,3,1
2025/2026,Milano,Lube Civitanova,3,1
2025/2026,Modena,Piacenza,3,2
2025/2026,Monza,Modena,3,0
2025/2026,Lube Civitanova,Perugia,1,3
2025/2026,Padova,Cisterna,3,2
2025/2026,Piacenza,Grottazzolina,3,0
2025/2026,Trentino,Milano,3,0
2025/2026,Verona,Cuneo Volley,3,0
2025/2026,Cisterna,Monza,3,1
2025/2026,Cuneo Volley,Perugia,0,3
2025/2026,Grottazzolina,Lube Civitanova,0,3
2025/2026,Modena,Trentino,3,1
2025/2026,Verona,Padova,3,0
2025/2026,Milano,Piacenza,0,3
2025/2026,Lube Civitanova,Padova,3,0
2025/2026,Milano,Cisterna,3,1
2025/2026,Perugia,Modena,3,1
2025/2026,Piacenza,Monza,3,0
2025/2026,Trentino,Verona,2,3
2025/2026,Cuneo Volley,Grottazzolina,3,0
2025/2026,Grottazzolina,Cisterna,3,2
2025/2026,Monza,Verona,0,3
2025/2026,Padova,Modena,1,3
2025/2026,Perugia,Milano,3,1
2025/2026,Trentino,Lube Civitanova,3,1
2025/2026,Piacenza,Cuneo Volley,3,0
2025/2026,Modena,Cuneo Volley,3,0
2025/2026,Cisterna,Perugia,0,3
2025/2026,Milano,Padova,3,1
2025/2026,Monza,Trentino,0,3
2025/2026,Verona,Grottazzolina,3,0
2025/2026,Lube Civitanova,Piacenza,3,1
2025/2026,Modena,Cisterna,3,1
2025/2026,Grottazzolina,Milano,0,3
2025/2026,Padova,Trentino,0,3
2025/2026,Cuneo Volley,Lube Civitanova,0,3
2025/2026,Piacenza,Verona,2,3
2025/2026,Cisterna,Padova,1,3
2025/2026,Lube Civitanova,Milano,3,2
2025/2026,Trentino,Piacenza,3,2
2025/2026,Verona,Modena,1,3
2025/2026,Monza,Grottazzolina,3,2
