season,home_club,away_club,home_sets,away_sets
2025/2026,Padova,Monza,1,3
2025/2026,Cisterna,Piacenza,1,3
2025/2026,Cuneo Volley,Verona,0,3
2025/2026,Milano,Perugia,0,3
2025/2026,Grottazzolina,Trentino,0,3
2025/2026,Modena,Lube Civitanova,3,1
2025/2026,Cuneo Volley,Milano,1,3
2025/2026,Monza,Lube Civitanova,3,1
2025/2026,Grottazzolina,Perugia,0,3
2025/2026,Piacenza,Padova,3,0
2025/2026,Trentino,Modena,3,0
2025/2026,Verona,Cisterna,3,0
2025/2026,Milano,Trentino,0,3
2025/2026,Modena,Grottazzolina,3,1
2025/2026,Perugia,Cisterna,3,0
2025/2026,Lube Civitanova,Cuneo Volley,3,0
2025/2026,Padova,Verona,1,3
2025/2026,Monza,Piacenza,0,3
2025/2026,Perugia,Monza,3,1
2025/2026,Grottazzolina,Piacenza,0,3
2025/2026,Verona,Monza,3,0
2025/2026,Trentino,Perugia,3,1
2025/2026,Padova,Lube Civitanova,3,2
2025/2026,Cuneo Volley,Modena,2,3
2025/2026,Cisterna,Milano,0,3
2025/2026,Milano,Grottazzolina,3,0
2025/2026,Cisterna,Modena,3,2
2025/2026,Grottazzolina,Cuneo Volley,0,3
2025/2026,Piacenza,Lube Civitanova,3,0
2025/2026,Trentino,Monza,3,0
2025/2026,Perugia,Verona,2,3
2025/2026,Padova,Milano,2,3
2025/2026,Perugia,Cuneo Volley,3,0
2025/2026,Piacenza,Perugia,2,3
2025/2026,Lube Civitanova,Verona,3,0
2025/2026,Modena,Padova,3,0
2025/2026,Cuneo Volley,Trentino,1,3
2025/2026,Monza,Cisterna,2,3
2025/2026,Milano,Monza,3,1
2025/2026,Verona,Trentino,3,1
2025/2026,Lube Civitanova,Cisterna,3,1
2025/2026,Modena,Perugia,1,3
2025/2026,Padova,Grottazzolina,3,1
2025/2026,Cuneo Volley,Piacenza,2,3
2025/2026,Verona,Milano,3,0
2025/2026,Cisterna,Grottazzolina,3,2
2025/2026,Lube Civitanova,Trentino,3,1
2025/2026,Monza,Cuneo Volley,3,1
2025/2026,Perugia,Padova,3,0
2025/2026,Piacenza,Modena,1,3
2025/2026,Perugia,Lube Civitanova,3,2
2025/2026,Modena,Monza,3,0
2025/2026,Cuneo Volley,Cisterna,3,0
2025/2026,Piacenza,Milano,3,1
2025/2026,Trentino,Padova,3,0
2025/2026,Grottazzolina,Verona,0,3
2025/2026,Cisterna,Trentino,0,3
2025/2026,Monza,Perugia,1,3
2025/2026,Lube Civitanova,Grottazzolina,3,1
2025/2026,Padova,Cuneo Volley,3,2
2025/2026,Verona,Piacenza,3,1
2025/2026,Milano,Modena,3,2
