season,home_club,away_club,home_sets,away_sets
2025/2026,Lube CivitanovaLube Civitanova,GrottazzolinaGrottazzolina,3,0
2025/2026,MilanoMilano,ModenaModena,0,3
2025/2026,MonzaMonza,CisternaCisterna,3,2
2025/2026,PadovaPadova,TrentinoTrentino,0,3
2025/2026,PiacenzaPiacenza,PerugiaPerugia,1,3
2025/2026,TarantoTaranto,VeronaVerona,2,3
2025/2026,VeronaVerona,PadovaPadova,3,1
2025/2026,GrottazzolinaGrottazzolina,PiacenzaPiacenza,0,3
2025/2026,PerugiaPerugia,MonzaMonza,3,1
2025/2026,ModenaModena,TarantoTaranto,3,1
2025/2026,CisternaCisterna,MilanoMilano,1,3
2025/2026,TrentinoTrentino,Lube CivitanovaLube Civitanova,3,1
2025/2026,PadovaPadova,Lube CivitanovaLube Civitanova,3,2
2025/2026,TrentinoTrentino,CisternaCisterna,3,0
2025/2026,Lube CivitanovaLube Civitanova,TarantoTaranto,3,1
2025/2026,PerugiaPerugia,MilanoMilano,3,1
2025/2026,PadovaPadova,ModenaModena,3,2
2025/2026,PiacenzaPiacenza,VeronaVerona,0,3
2025/2026,CisternaCisterna,GrottazzolinaGrottazzolina,3,2
2025/2026,MonzaMonza,TrentinoTrentino,0,3
2025/2026,MilanoMilano,PadovaPadova,3,1
2025/2026,ModenaModena,Lube CivitanovaLube Civitanova,3,1
2025/2026,TarantoTaranto,CisternaCisterna,2,3
2025/2026,GrottazzolinaGrottazzolina,PerugiaPerugia,1,3
2025/2026,VeronaVerona,MonzaMonza,3,0
2025/2026,TrentinoTrentino,PiacenzaPiacenza,3,2
2025/2026,CisternaCisterna,ModenaModena,3,2
2025/2026,GrottazzolinaGrottazzolina,MilanoMilano,3,2
2025/2026,PerugiaPerugia,TarantoTaranto,3,0
2025/2026,MonzaMonza,PadovaPadova,3,1
2025/2026,PiacenzaPiacenza,Lube CivitanovaLube Civitanova,0,3
2025/2026,VeronaVerona,TrentinoTrentino,0,3
2025/2026,Lube CivitanovaLube Civitanova,PerugiaPerugia,3,1
2025/2026,ModenaModena,VeronaVerona,0,3
2025/2026,MilanoMilano,PiacenzaPiacenza,3,2
2025/2026,TrentinoTrentino,GrottazzolinaGrottazzolina,3,2
2025/2026,TarantoTaranto,MonzaMonza,3,2
2025/2026,PadovaPadova,CisternaCisterna,2,3
2025/2026,CisternaCisterna,Lube CivitanovaLube Civitanova,0,3
2025/2026,GrottazzolinaGrottazzolina,TarantoTaranto,3,2
