season,home_club,away_club,home_sets,away_sets
2025/2026,PadovaPadova,Sviluppo Sud CataniaSviluppo Sud Catania,3,1
2025/2026,PerugiaPerugia,CisternaCisterna,3,1
2025/2026,TarantoTaranto,ModenaModena,2,3
2025/2026,MonzaMonza,PiacenzaPiacenza,3,2
2025/2026,MilanoMilano,PadovaPadova,3,0
2025/2026,Lube CivitanovaLube Civitanova,TarantoTaranto,3,2
2025/2026,TrentinoTrentino,Sviluppo Sud CataniaSviluppo Sud Catania,3,0
2025/2026,VeronaVerona,PerugiaPerugia,0,3
2025/2026,CisternaCisterna,ModenaModena,1,3
2025/2026,PerugiaPerugia,PadovaPadova,3,0
2025/2026,CisternaCisterna,TarantoTaranto,3,2
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,MilanoMilano,1,3
2025/2026,TrentinoTrentino,MonzaMonza,3,1
2025/2026,PerugiaPerugia,PiacenzaPiacenza,3,2
2025/2026,ModenaModena,Lube CivitanovaLube Civitanova,0,3
2025/2026,PadovaPadova,VeronaVerona,3,1
2025/2026,Lube CivitanovaLube Civitanova,Sviluppo Sud CataniaSviluppo Sud Catania,3,0
2025/2026,MilanoMilano,TrentinoTrentino,1,3
2025/2026,ModenaModena,PadovaPadova,3,1
2025/2026,PiacenzaPiacenza,CisternaCisterna,3,1
2025/2026,TarantoTaranto,PerugiaPerugia,1,3
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,VeronaVerona,1,3
2025/2026,MilanoMilano,Lube CivitanovaLube Civitanova,3,0
2025/2026,PerugiaPerugia,ModenaModena,3,1
2025/2026,MonzaMonza,TarantoTaranto,3,0
2025/2026,PadovaPadova,CisternaCisterna,3,2
2025/2026,TrentinoTrentino,PiacenzaPiacenza,3,1
2025/2026,VeronaVerona,MonzaMonza,1,3
2025/2026,VeronaVerona,TrentinoTrentino,0,3
2025/2026,Lube CivitanovaLube Civitanova,PerugiaPerugia,3,2
2025/2026,ModenaModena,MonzaMonza,0,3
2025/2026,TarantoTaranto,PadovaPadova,2,3
2025/2026,PiacenzaPiacenza,Sviluppo Sud CataniaSviluppo Sud Catania,3,0
2025/2026,CisternaCisterna,MilanoMilano,3,0
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,CisternaCisterna,3,1
2025/2026,MonzaMonza,PerugiaPerugia,0,3
2025/2026,MilanoMilano,PiacenzaPiacenza,0,3
2025/2026,PadovaPadova,Lube CivitanovaLube Civitanova,0,3
2025/2026,TrentinoTrentino,TarantoTaranto,3,2
2025/2026,VeronaVerona,ModenaModena,2,3
2025/2026,PerugiaPerugia,Sviluppo Sud CataniaSviluppo Sud Catania,3,0
2025/2026,CisternaCisterna,TrentinoTrentino,2,3
2025/2026,Lube CivitanovaLube Civitanova,MonzaMonza,0,3
2025/2026,PiacenzaPiacenza,PadovaPadova,3,0
2025/2026,TarantoTaranto,VeronaVerona,1,3
2025/2026,ModenaModena,MilanoMilano,3,2
