season,home_club,away_club,home_sets,away_sets
2025/2026,MilanoMilano,TarantoTaranto,3,0
2025/2026,MonzaMonza,SienaSiena,3,0
2025/2026,PerugiaPerugia,Lube CivitanovaLube Civitanova,3,0
2025/2026,PiacenzaPiacenza,PadovaPadova,3,1
2025/2026,TrentinoTrentino,ModenaModena,3,0
2025/2026,VeronaVerona,CisternaCisterna,3,1
2025/2026,SienaSiena,VeronaVerona,0,3
2025/2026,ModenaModena,MonzaMonza,2,3
2025/2026,PadovaPadova,TrentinoTrentino,1,3
2025/2026,TarantoTaranto,PerugiaPerugia,0,3
2025/2026,CisternaCisterna,PiacenzaPiacenza,3,0
2025/2026,Lube CivitanovaLube Civitanova,MilanoMilano,3,0
2025/2026,SienaSiena,Lube CivitanovaLube Civitanova,0,3
2025/2026,MilanoMilano,TrentinoTrentino,2,3
2025/2026,Lube CivitanovaLube Civitanova,PiacenzaPiacenza,3,2
2025/2026,MonzaMonza,PadovaPadova,2,3
2025/2026,VeronaVerona,ModenaModena,3,2
2025/2026,PerugiaPerugia,CisternaCisterna,3,0
2025/2026,TarantoTaranto,SienaSiena,3,2
2025/2026,TrentinoTrentino,PerugiaPerugia,2,3
2025/2026,ModenaModena,TarantoTaranto,3,1
2025/2026,PadovaPadova,VeronaVerona,2,3
2025/2026,PiacenzaPiacenza,MilanoMilano,3,1
2025/2026,CisternaCisterna,MonzaMonza,1,3
2025/2026,Lube CivitanovaLube Civitanova,CisternaCisterna,3,1
2025/2026,MilanoMilano,PadovaPadova,3,1
2025/2026,MonzaMonza,VeronaVerona,1,3
2025/2026,TarantoTaranto,TrentinoTrentino,0,3
2025/2026,ModenaModena,SienaSiena,3,1
2025/2026,PerugiaPerugia,PiacenzaPiacenza,3,1
2025/2026,CisternaCisterna,ModenaModena,1,3
2025/2026,TrentinoTrentino,MonzaMonza,3,0
2025/2026,VeronaVerona,Lube CivitanovaLube Civitanova,3,2
2025/2026,PiacenzaPiacenza,TarantoTaranto,3,2
2025/2026,SienaSiena,PadovaPadova,3,2
2025/2026,MilanoMilano,PerugiaPerugia,0,3
2025/2026,ModenaModena,PerugiaPerugia,1,3
2025/2026,PadovaPadova,TarantoTaranto,3,0
2025/2026,SienaSiena,CisternaCisterna,3,1
2025/2026,VeronaVerona,MilanoMilano,3,0
2025/2026,Lube CivitanovaLube Civitanova,TrentinoTrentino,1,3
2025/2026,MonzaMonza,PiacenzaPiacenza,3,1
