season,home_club,away_club,home_sets,away_sets
2025/2026,Lube CivitanovaLube Civitanova,MilanoMilano,3,0
2025/2026,CisternaCisterna,TrentinoTrentino,3,0
2025/2026,MilanoMilano,TarantoTaranto,3,1
2025/2026,ModenaModena,PadovaPadova,3,1
2025/2026,PerugiaPerugia,Lube CivitanovaLube Civitanova,3,0
2025/2026,VeronaVerona,MonzaMonza,3,1
2025/2026,Vibo ValentiaVibo Valentia,PiacenzaPiacenza,0,3
2025/2026,PadovaPadova,Vibo ValentiaVibo Valentia,3,1
2025/2026,RavennaRavenna,CisternaCisterna,1,3
2025/2026,TrentinoTrentino,MilanoMilano,3,2
2025/2026,TarantoTaranto,ModenaModena,3,1
2025/2026,MonzaMonza,PerugiaPerugia,1,3
2025/2026,VeronaVerona,Lube CivitanovaLube Civitanova,1,3
2025/2026,PiacenzaPiacenza,VeronaVerona,3,0
2025/2026,ModenaModena,RavennaRavenna,3,1
2025/2026,ModenaModena,Lube CivitanovaLube Civitanova,3,1
2025/2026,Lube CivitanovaLube Civitanova,CisternaCisterna,3,1
2025/2026,RavennaRavenna,PiacenzaPiacenza,1,3
2025/2026,TrentinoTrentino,Vibo ValentiaVibo Valentia,3,0
2025/2026,PadovaPadova,MilanoMilano,0,3
2025/2026,PiacenzaPiacenza,TrentinoTrentino,1,3
2025/2026,TarantoTaranto,Lube CivitanovaLube Civitanova,0,3
2025/2026,Vibo ValentiaVibo Valentia,PerugiaPerugia,0,3
2025/2026,ModenaModena,CisternaCisterna,2,3
2025/2026,RavennaRavenna,VeronaVerona,1,3
2025/2026,PerugiaPerugia,PiacenzaPiacenza,3,1
2025/2026,PadovaPadova,TrentinoTrentino,1,3
2025/2026,MilanoMilano,RavennaRavenna,3,1
2025/2026,VeronaVerona,ModenaModena,1,3
2025/2026,PerugiaPerugia,PadovaPadova,3,1
2025/2026,TarantoTaranto,PiacenzaPiacenza,3,1
2025/2026,MonzaMonza,Vibo ValentiaVibo Valentia,0,3
2025/2026,MilanoMilano,ModenaModena,2,3
2025/2026,PiacenzaPiacenza,PadovaPadova,3,0
2025/2026,Vibo ValentiaVibo Valentia,CisternaCisterna,2,3
2025/2026,MonzaMonza,RavennaRavenna,3,0
2025/2026,CisternaCisterna,MilanoMilano,0,3
2025/2026,ModenaModena,PerugiaPerugia,2,3
2025/2026,RavennaRavenna,Lube CivitanovaLube Civitanova,0,3
2025/2026,Vibo ValentiaVibo Valentia,VeronaVerona,3,0
2025/2026,TrentinoTrentino,TarantoTaranto,3,0
2025/2026,PadovaPadova,MonzaMonza,0,3
2025/2026,CisternaCisterna,PiacenzaPiacenza,3,0
2025/2026,RavennaRavenna,PadovaPadova,1,3
2025/2026,Vibo ValentiaVibo Valentia,TarantoTaranto,3,1
2025/2026,MonzaMonza,CisternaCisterna,3,1
2025/2026,TrentinoTrentino,ModenaModena,2,3
2025/2026,PerugiaPerugia,RavennaRavenna,3,0
2025/2026,Lube CivitanovaLube Civitanova,Vibo ValentiaVibo Valentia,3,0
2025/2026,VeronaVerona,MilanoMilano,3,2
2025/2026,Lube CivitanovaLube Civitanova,TrentinoTrentino,3,2
2025/2026,PerugiaPerugia,TarantoTaranto,3,0
2025/2026,MonzaMonza,TrentinoTrentino,1,3
2025/2026,MilanoMilano,PerugiaPerugia,1,3
2025/2026,RavennaRavenna,Vibo ValentiaVibo Valentia,1,3
2025/2026,PadovaPadova,TarantoTaranto,2,3
2025/2026,CisternaCisterna,VeronaVerona,1,3
2025/2026,MonzaMonza,MilanoMilano,0,3
2025/2026,TarantoTaranto,RavennaRavenna,3,0
2025/2026,Lube CivitanovaLube Civitanova,MonzaMonza,3,0
2025/2026,CisternaCisterna,TarantoTaranto,3,1
2025/2026,VeronaVerona,PadovaPadova,3,1
2025/2026,TrentinoTrentino,RavennaRavenna,3,0
2025/2026,PiacenzaPiacenza,Lube CivitanovaLube Civitanova,0,3
2025/2026,TarantoTaranto,VeronaVerona,3,0
