season,home_club,away_club,home_sets,away_sets
2025/2026,Monza,Verona,3,0
2025/2026,Ravenna,Milano,1,3
2025/2026,Piacenza,Milano,3,2
2025/2026,Padova,Verona,3,2
2025/2026,Trentino,Ravenna,3,1
2025/2026,Perugia,Monza,0,3
2025/2026,Modena,Cisterna,3,1
2025/2026,Vibo Valentia,Lube Civitanova,3,2
2025/2026,Ravenna,Padova,3,1
2025/2026,Milano,Trentino,3,0
2025/2026,Verona,Modena,1,3
2025/2026,Lube Civitanova,Perugia,2,3
2025/2026,Monza,Piacenza,0,3
2025/2026,Cisterna,Vibo Valentia,3,2
2025/2026,Ravenna,Monza,1,3
2025/2026,Piacenza,Verona,3,1
2025/2026,Modena,Perugia,1,3
2025/2026,Cisterna,Lube Civitanova,0,3
2025/2026,Vibo Valentia,Trentino,0,3
2025/2026,Milano,Padova,3,1
2025/2026,Milano,Modena,3,2
2025/2026,Lube Civitanova,Monza,3,1
2025/2026,Monza,Vibo Valentia,3,1
2025/2026,Verona,Ravenna,0,3
2025/2026,Perugia,Milano,3,1
2025/2026,Padova,Piacenza,2,3
2025/2026,Lube Civitanova,Modena,3,2
2025/2026,Trentino,Cisterna,3,1
2025/2026,Vibo Valentia,Milano,3,1
2025/2026,Trentino,Padova,3,0
2025/2026,Piacenza,Modena,0,3
2025/2026,Ravenna,Perugia,0,3
2025/2026,Milano,Lube Civitanova,2,3
2025/2026,Trentino,Monza,3,2
2025/2026,Cisterna,Verona,0,3
2025/2026,Piacenza,Vibo Valentia,3,1
2025/2026,Monza,Ravenna,3,1
2025/2026,Trentino,Milano,3,0
2025/2026,Lube Civitanova,Piacenza,3,1
2025/2026,Verona,Milano,3,1
2025/2026,Perugia,Trentino,1,3
2025/2026,Vibo Valentia,Ravenna,3,0
2025/2026,Monza,Cisterna,3,1
2025/2026,Padova,Lube Civitanova,0,3
2025/2026,Monza,Padova,3,2
2025/2026,Ravenna,Trentino,1,3
2025/2026,Verona,Vibo Valentia,3,1
2025/2026,Cisterna,Perugia,0,3
2025/2026,Modena,Trentino,1,3
2025/2026,Perugia,Lube Civitanova,2,3
2025/2026,Modena,Verona,3,1
2025/2026,Trentino,Piacenza,3,0
2025/2026,Cisterna,Ravenna,1,3
2025/2026,Vibo Valentia,Padova,3,0
2025/2026,Perugia,Verona,3,1
2025/2026,Padova,Ravenna,1,3
2025/2026,Verona,Piacenza,1,3
2025/2026,Vibo Valentia,Cisterna,3,0
2025/2026,Padova,Perugia,0,3
2025/2026,Trentino,Lube Civitanova,3,0
2025/2026,Piacenza,Cisterna,3,0
2025/2026,Modena,Ravenna,3,0
2025/2026,Trentino,Modena,3,0
2025/2026,Ravenna,Verona,0,3
2025/2026,Modena,Vibo Valentia,0,3
2025/2026,Padova,Cisterna,3,1
2025/2026,Verona,Trentino,2,3
2025/2026,Perugia,Piacenza,3,0
2025/2026,Ravenna,Lube Civitanova,2,3
2025/2026,Milano,Monza,2,3
2025/2026,Perugia,Modena,3,0
2025/2026,Lube Civitanova,Cisterna,3,0
2025/2026,Vibo Valentia,Perugia,1,3
2025/2026,Cisterna,Milano,0,3
2025/2026,Monza,Modena,3,1
2025/2026,Piacenza,Ravenna,3,1
2025/2026,Lube Civitanova,Verona,3,1
2025/2026,Cisterna,Modena,2,3
2025/2026,Trentino,Vibo Valentia,1,3
2025/2026,Milano,Perugia,1,3
2025/2026,Verona,Padova,1,3
2025/2026,Monza,Perugia,3,0
2025/2026,Milano,Piacenza,1,3
2025/2026,Lube Civitanova,Vibo Valentia,1,3
2025/2026,Piacenza,Monza,1,3
2025/2026,Modena,Padova,3,0
2025/2026,Padova,Milano,2,3
2025/2026,Cisterna,Trentino,1,3
2025/2026,Piacenza,Padova,3,1
2025/2026,Vibo Valentia,Monza,3,1
2025/2026,Modena,Lube Civitanova,0,3
2025/2026,Lube Civitanova,Milano,3,0
2025/2026,Monza,Trentino,3,2
2025/2026,Padova,Modena,1,3
2025/2026,Perugia,Ravenna,3,0
2025/2026,Verona,Cisterna,3,2
2025/2026,Vibo Valentia,Piacenza,1,3
2025/2026,Cisterna,Monza,3,1
2025/2026,Lube Civitanova,Padova,3,0
2025/2026,Milano,Verona,3,1
2025/2026,Modena,Piacenza,3,0
2025/2026,Ravenna,Vibo Valentia,2,3
2025/2026,Trentino,Perugia,1,3
2025/2026,Perugia,Cisterna,3,0
2025/2026,Milano,Ravenna,3,2
2025/2026,Padova,Monza,2,3
2025/2026,Piacenza,Lube Civitanova,1,3
2025/2026,Vibo Valentia,Verona,3,2
2025/2026,Modena,Milano,1,3
2025/2026,Monza,Lube Civitanova,0,3
2025/2026,Padova,Vibo Valentia,1,3
2025/2026,Ravenna,Cisterna,3,0
2025/2026,Verona,Perugia,0,3
2025/2026,Piacenza,Trentino,0,3
2025/2026,Ravenna,Modena,1,3
2025/2026,Cisterna,Piacenza,1,3
2025/2026,Lube Civitanova,Trentino,3,0
2025/2026,Milano,Vibo Valentia,1,3
2025/2026,Perugia,Padova,3,0
2025/2026,Verona,Monza,3,1
2025/2026,Cisterna,Padova,0,3
2025/2026,Lube Civitanova,Ravenna,3,2
2025/2026,Piacenza,Perugia,1,3
2025/2026,Trentino,Verona,0,3
2025/2026,Vibo Valentia,Modena,0,3
2025/2026,Monza,Milano,1,3
2025/2026,Perugia,Vibo Valentia,3,0
2025/2026,Verona,Lube Civitanova,0,3
2025/2026,Milano,Cisterna,3,0
2025/2026,Modena,Monza,1,3
2025/2026,Padova,Trentino,0,3
2025/2026,Ravenna,Piacenza,1,3
