Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Sander Brenden Lee,2,2,2.0,1.0,1.0,,,,,1.0,,1.0,,,,4.0,1.0,,2.0,500.0,25.0,,,,2018/2019,MC
Simon Robertlandy,20,67,182.0,82.0,221.0,23.0,63.0,34.0,-18.0,16.0,3.0,3.0,5.0,312.0,12.0,202.0,13.0,7.0,131.0,649.0,58.0,28.0,42.0,,2018/2019,MC
Sokolov Tsvetan,26,92,358.0,120.0,269.0,23.0,89.0,25.0,-25.0,7.0,1.0,3.0,1.0,143.0,,547.0,57.0,56.0,291.0,532.0,43.0,44.0,48.0,,2018/2019,MC
Stankovic Dragan,17,44,69.0,30.0,110.0,2.0,18.0,5.0,-15.0,5.0,,1.0,4.0,800.0,80.0,86.0,6.0,8.0,47.0,547.0,48.0,20.0,45.0,,2018/2019,MC
Team Totals,26,93,1567.0,645.0,2191.0,172.0,368.0,185.0,-9.0,1530.0,158.0,652.0,358.0,234.0,13.0,2166.0,157.0,160.0,1176.0,543.0,47.0,219.0,235.0,,2018/2019,MC
Candellaro Davide,25,83,131.0,52.0,285.0,19.0,40.0,23.0,-7.0,1.0,1.0,,,,-100.0,141.0,4.0,5.0,89.0,631.0,60.0,23.0,28.0,,2017/2018,MC
Casadei Alberto,5,14,24.0,6.0,37.0,1.0,12.0,7.0,-30.0,,,,,,,56.0,3.0,10.0,22.0,393.0,34.0,1.0,7.0,,2017/2018,MC
Cester Enrico,23,83,159.0,73.0,297.0,21.0,40.0,25.0,-6.0,7.0,2.0,2.0,2.0,286.0,,169.0,13.0,10.0,100.0,592.0,51.0,38.0,46.0,,2017/2018,MC
Christenson Micah,25,86,85.0,59.0,328.0,29.0,66.0,34.0,-11.0,8.0,4.0,4.0,,,-50.0,47.0,1.0,2.0,33.0,702.0,68.0,23.0,27.0,,2017/2018,MC
Grebennikov Jenia,26,93,,,,,,,,401.0,26.0,154.0,132.0,329.0,26.0,,,,,,,,,,2017/2018,MC
Juantorena Osmany,26,90,378.0,149.0,426.0,44.0,59.0,49.0,-4.0,462.0,33.0,182.0,136.0,294.0,22.0,537.0,18.0,46.0,309.0,575.0,54.0,25.0,28.0,,2017/2018,MC
Kovar Jiri,23,70,160.0,61.0,175.0,11.0,58.0,16.0,-27.0,323.0,29.0,119.0,113.0,350.0,26.0,254.0,22.0,21.0,125.0,492.0,41.0,24.0,34.0,,2017/2018,MC
Marchisio Andrea,6,12,,,1.0,,,,,21.0,1.0,7.0,4.0,190.0,14.0,,,,,,,,,,2017/2018,MC
Milan Sebastiano,4,7,9.0,1.0,3.0,,1.0,,-33.0,7.0,,2.0,3.0,429.0,43.0,17.0,1.0,1.0,8.0,471.0,41.0,1.0,14.0,,2017/2018,MC
Sander Taylor,19,60,204.0,64.0,184.0,14.0,41.0,23.0,-15.0,326.0,31.0,123.0,105.0,322.0,23.0,346.0,28.0,15.0,177.0,512.0,43.0,13.0,22.0,,2017/2018,MC
Sokolov Tsvetan,23,79,361.0,147.0,278.0,28.0,89.0,35.0,-22.0,1.0,,1.0,,,,547.0,54.0,62.0,280.0,512.0,41.0,53.0,67.0,,2017/2018,MC
Stankovic Dragan,16,45,86.0,47.0,142.0,11.0,28.0,24.0,-12.0,7.0,,1.0,5.0,714.0,71.0,92.0,,7.0,56.0,609.0,61.0,19.0,42.0,,2017/2018,MC
Zhukouski Tsimafei,12,26,11.0,6.0,63.0,4.0,16.0,15.0,-19.0,2.0,1.0,1.0,,,-50.0,6.0,,,5.0,833.0,83.0,2.0,8.0,,2017/2018,MC
Team Totals,26,94,1608.0,665.0,2219.0,182.0,450.0,194.0,-12.0,1566.0,128.0,596.0,500.0,319.0,24.0,2212.0,144.0,179.0,1204.0,544.0,48.0,222.0,236.0,,2017/2018,MC
Candellaro Davide,20,62,136.0,54.0,215.0,15.0,23.0,24.0,-4.0,4.0,,2.0,2.0,500.0,50.0,153.0,5.0,6.0,100.0,654.0,62.0,21.0,34.0,,2016/2017,MC
Casadei Alberto,12,17,17.0,2.0,17.0,,3.0,,-18.0,,,,,,,30.0,1.0,2.0,16.0,533.0,50.0,1.0,6.0,,2016/2017,MC
Cebulj Klemen,18,57,136.0,56.0,173.0,23.0,46.0,40.0,-13.0,211.0,24.0,71.0,58.0,275.0,16.0,201.0,9.0,12.0,101.0,502.0,46.0,12.0,21.0,,2016/2017,MC
Cester Enrico,14,51,119.0,39.0,181.0,4.0,19.0,8.0,-8.0,3.0,1.0,1.0,,,-33.0,123.0,7.0,6.0,86.0,699.0,64.0,29.0,57.0,,2016/2017,MC
Christenson Micah,24,90,93.0,61.0,397.0,27.0,74.0,30.0,-12.0,5.0,2.0,3.0,,,-40.0,71.0,4.0,4.0,41.0,577.0,52.0,25.0,28.0,,2016/2017,MC
Corvetta Antonio,11,18,2.0,1.0,38.0,1.0,1.0,6.0,,2.0,,2.0,,,,3.0,,,1.0,333.0,33.0,,,,2016/2017,MC
Grebennikov Jenia,26,76,1.0,1.0,30.0,1.0,3.0,1.0,-7.0,111.0,8.0,37.0,38.0,342.0,27.0,,,,,,,,,,2016/2017,MC
Juantorena Osmany,24,85,331.0,165.0,403.0,41.0,71.0,48.0,-7.0,441.0,45.0,180.0,127.0,288.0,19.0,473.0,24.0,40.0,274.0,579.0,53.0,16.0,19.0,,2016/2017,MC
Kaliberda Denys Viktorovic,16,49,114.0,43.0,142.0,10.0,25.0,20.0,-11.0,208.0,16.0,85.0,62.0,298.0,22.0,201.0,13.0,22.0,93.0,463.0,40.0,11.0,22.0,,2016/2017,MC
Kovar Jiri,16,41,69.0,29.0,88.0,7.0,32.0,17.0,-28.0,166.0,14.0,69.0,47.0,283.0,20.0,111.0,13.0,8.0,55.0,495.0,38.0,7.0,17.0,,2016/2017,MC
Pesaresi Nicola,26,90,,,,,,,,403.0,31.0,156.0,133.0,330.0,25.0,,,,,,,,,,2016/2017,MC
Sokolov Tsvetan,26,95,452.0,174.0,309.0,39.0,117.0,41.0,-25.0,2.0,1.0,1.0,,,-50.0,656.0,63.0,60.0,355.0,541.0,45.0,58.0,61.0,,2016/2017,MC
Stankovic Dragan,24,90,210.0,81.0,299.0,7.0,48.0,8.0,-14.0,8.0,2.0,,3.0,375.0,12.0,228.0,10.0,8.0,158.0,693.0,65.0,45.0,50.0,,2016/2017,MC
Team Totals,26,98,1680.0,706.0,2292.0,175.0,462.0,179.0,-13.0,1564.0,144.0,607.0,470.0,301.0,21.0,2250.0,149.0,168.0,1280.0,569.0,50.0,225.0,230.0,,2016/2017,MC
