Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Alletti Aimone,20,72,122.0,38.0,268.0,13.0,34.0,18.0,-8.0,9.0,,3.0,3.0,333.0,33.0,152.0,7.0,11.0,91.0,599.0,55.0,18.0,25.0,,2022/2023,TA
Andreopoulos Charalampos,17,37,47.0,15.0,65.0,1.0,13.0,3.0,-18.0,137.0,12.0,64.0,27.0,197.0,11.0,81.0,6.0,8.0,38.0,469.0,40.0,8.0,22.0,,2022/2023,TA
Antonov Oleg,22,82,258.0,71.0,305.0,19.0,58.0,23.0,-13.0,519.0,44.0,209.0,141.0,272.0,19.0,479.0,21.0,43.0,221.0,461.0,42.0,18.0,22.0,,2022/2023,TA
Cottarelli Francesco,22,48,2.0,2.0,32.0,1.0,,2.0,3.0,,,,,,,1.0,,,1.0,1000.0,100.0,,,,2022/2023,TA
Ekstrand Hampus,18,48,24.0,5.0,30.0,,7.0,,-23.0,12.0,2.0,9.0,1.0,83.0,-8.0,45.0,3.0,3.0,22.0,489.0,42.0,2.0,4.0,,2022/2023,TA
Falaschi Marco,22,82,29.0,19.0,299.0,10.0,36.0,12.0,-9.0,6.0,3.0,3.0,,,-50.0,23.0,2.0,,12.0,522.0,43.0,7.0,9.0,,2022/2023,TA
Gargiulo Giovanni Maria,15,37,46.0,13.0,78.0,,3.0,,-4.0,12.0,,6.0,,,,75.0,4.0,8.0,35.0,467.0,41.0,11.0,30.0,,2022/2023,TA
Larizza Jacopo,21,70,111.0,42.0,227.0,7.0,30.0,10.0,-10.0,7.0,,5.0,1.0,143.0,14.0,104.0,5.0,6.0,69.0,663.0,62.0,35.0,50.0,,2022/2023,TA
Lawani Ibrahim,6,23,132.0,46.0,83.0,8.0,32.0,35.0,-29.0,3.0,1.0,1.0,1.0,333.0,,220.0,18.0,21.0,118.0,536.0,45.0,6.0,26.0,,2022/2023,TA
Loeppky Eric,19,68,282.0,77.0,247.0,16.0,64.0,24.0,-19.0,464.0,28.0,234.0,71.0,153.0,9.0,491.0,24.0,20.0,246.0,501.0,45.0,20.0,29.0,,2022/2023,TA
Lucconi Manuele,2,2,1.0,,,,,,,,,,,,,3.0,,2.0,1.0,333.0,33.0,,,,2022/2023,TA
Pierri Francesco,6,8,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2022/2023,TA
Rizzo Marco,22,82,,,,,,,,361.0,25.0,174.0,73.0,202.0,13.0,,,,,,,,,,2022/2023,TA
Stefani Tommaso,16,55,253.0,69.0,185.0,11.0,56.0,20.0,-24.0,24.0,4.0,12.0,3.0,125.0,-4.0,475.0,49.0,52.0,229.0,482.0,38.0,13.0,24.0,,2022/2023,TA
Team Totals,22,82,1307.0,397.0,1819.0,86.0,333.0,105.0,-14.0,1555.0,119.0,721.0,321.0,206.0,13.0,2149.0,139.0,174.0,1083.0,504.0,44.0,138.0,168.0,,2022/2023,TA
Alletti Aimone,24,90,171.0,58.0,315.0,14.0,26.0,16.0,-4.0,11.0,1.0,3.0,5.0,455.0,36.0,202.0,12.0,14.0,116.0,574.0,51.0,41.0,46.0,,2021/2022,TA
