Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Baranowicz Michele,20,78,25.0,19.0,307.0,12.0,45.0,15.0,-11.0,11.0,2.0,6.0,,,-18.0,23.0,2.0,1.0,4.0,174.0,9.0,9.0,12.0,,2019/2020,VV
Carle Timothee,20,67,199.0,57.0,187.0,12.0,61.0,18.0,-26.0,370.0,44.0,155.0,55.0,149.0,3.0,360.0,27.0,42.0,175.0,486.0,41.0,12.0,18.0,,2019/2020,VV
Chinenyeze Barthelemy,20,78,175.0,56.0,232.0,8.0,34.0,10.0,-11.0,15.0,,7.0,5.0,333.0,33.0,205.0,11.0,16.0,134.0,654.0,60.0,33.0,42.0,,2019/2020,VV
Defalco Torey James,19,72,241.0,74.0,260.0,8.0,51.0,11.0,-17.0,401.0,41.0,179.0,81.0,202.0,10.0,439.0,30.0,34.0,207.0,472.0,40.0,26.0,36.0,,2019/2020,VV
Drame Neto Aboubacar,20,68,272.0,90.0,217.0,26.0,66.0,38.0,-18.0,1.0,,1.0,,,,472.0,38.0,43.0,222.0,470.0,39.0,24.0,35.0,,2019/2020,VV
Hirsch Simon,16,45,81.0,21.0,76.0,4.0,19.0,9.0,-20.0,2.0,1.0,,,,-50.0,154.0,14.0,15.0,70.0,455.0,36.0,7.0,16.0,,2019/2020,VV
Marsili Sebastiano,11,16,,,10.0,,2.0,,-20.0,1.0,,1.0,,,,,,,,,,,,,2019/2020,VV
Mengozzi Stefano,20,76,122.0,40.0,210.0,2.0,12.0,3.0,-5.0,31.0,1.0,19.0,4.0,129.0,10.0,155.0,8.0,5.0,83.0,535.0,48.0,37.0,49.0,,2019/2020,VV
Ngapeth Swan,16,44,82.0,21.0,103.0,2.0,22.0,5.0,-19.0,258.0,16.0,148.0,42.0,163.0,10.0,186.0,15.0,16.0,73.0,392.0,31.0,7.0,16.0,,2019/2020,VV
Pierotti Marco,10,18,4.0,2.0,11.0,,3.0,,-27.0,33.0,5.0,13.0,5.0,152.0,,19.0,2.0,2.0,4.0,211.0,11.0,,,,2019/2020,VV
Rizzo Marco,20,78,,,,,,,,366.0,21.0,179.0,57.0,156.0,10.0,,,,,,,,,,2019/2020,VV
Sardanelli Simone,4,5,,,1.0,,,,,,,,,,,,,,,,,,,,2019/2020,VV
Vitelli Marco,19,55,15.0,10.0,84.0,8.0,19.0,15.0,-13.0,4.0,,1.0,2.0,500.0,50.0,7.0,,,5.0,714.0,71.0,2.0,4.0,,2019/2020,VV
